Card_Number,Card_Family,Cust_ID,Account Status,Reason_Code,Reason 
3922-3698-6304-1975,Premium,CC43352,A,G,Good
6620-4005-4574-6263,Gold,CC95042,C,S,Stolen
5786-2204-6101-1373,Platinum,CC17112,A,G,Good
8031-9022-9952-9605,Gold,CC66002,A,G,Good
3914-1379-8974-9157,Platinum,CC59638,A,G,Good
7290-4771-9163-1291,Gold,CC77721,A,G,Good
4708-4407-9601-6022,Premium,CC64993,A,G,Good
6042-2856-7280-2925,Gold,CC26787,A,G,Good
8706-3809-5167-3899,Premium,CC32532,A,G,Good
9540-8558-5897-5046,Premium,CC90246,A,G,Good
5587-7265-8118-7718,Gold,CC37803,A,G,Good
